Abbau|NN	-0.058	Abbaus,Abbaues,Abbauen,Abbaue
deinstallieren|VVINF	-0.0048
deinstalliert|ADJX	-0.0048	deinstallierterem,deinstalliertste,deinstallierteren,deinstalliertem,deinstalliertere,deinstallierte,deinstallierten,deinstalliertst,deinstallierter,deinstalliertes,deinstalliertstes,deinstalliertster,deinstallierterer,deinstallierteres,deinstalliertsten,deinstalliertstem
dekadent|ADJX	-0.1769	dekadenter,dekadentes,dekadentere,dekadenten,dekadentem,dekadenterer,dekadenteres,dekadentest,dekadenterem,dekadentesten,dekadentestem,dekadentestes,dekadente,dekadentester,dekadenteren,dekadenteste
demütigen|VVINF	-0.0048	demütigest,demütiget,demütig,demütigst,demütigte,gedemütigt,demütigten,demütigtet,demütigt,demütige,demütigtest
denkfaul|ADJX	-0.0048	denkfaulerem,denkfaulster,denkfaulstes,denkfauleren,denkfaulstem,denkfaulsten,denkfaulere,denkfaulste,denkfaulem,denkfaulen,denkfaule,denkfaules,denkfauleres,denkfauler,denkfaulerer,denkfaulst
depressiv|ADJX	-0.4715	depressivster,depressivstes,depressivst,depressivere,depressivstem,depressivsten,depressivem,depressive,depressiven,depressiver,depressives,depressiverem,depressiveren,depressiveres,depressiverer,depressivste
desinteressiert|ADJX	-0.0048	desinteressiertes,desinteressiertstes,desinteressierter,desinteressierten,desinteressiertem,desinteressiertere,desinteressiertsten,desinteressiertstem,desinteressierteren,desinteressierterem,desinteressiertster,desinteressierterer,desinteressierteres,desinteressiertst,desinteressierte,desinteressiertste
desolat|ADJX	-0.0048	desolatesten,desolatestem,desolate,desolates,desolatere,desolatem,desolaten,desolateren,desolateres,desolater,desolaterer,desolateste,desolatestes,desolaterem,desolatest,desolatester
destruktiv|ADJX	-0.1936	destruktive,destruktivere,destruktiven,destruktivst,destruktivsten,destruktivem,destruktivstem,destruktiverer,destruktivste,destruktivstes,destruktivster,destruktiveres,destruktiveren,destruktives,destruktiver,destruktiverem
dezimieren|VVINF	-0.0048	dezimierte,dezimiertet,dezimiert,dezimierst,dezimiere,dezimierest,dezimieret,dezimiertest,dezimier,dezimierten
diffamieren|VVINF	-0.0048
diffizil|ADJX	-0.0048	diffizilstes,diffizilste,diffizilster,diffizilerer,diffizilstem,diffizilsten,diffizileres,diffizilem,diffizilere,diffizilen,diffizilst,diffizileren,diffizilerem,diffiziles,diffiziler,diffizile
diffus|ADJX	-0.331	diffusest,diffuse,diffusestes,diffusester,diffusen,diffusem,diffusestem,diffuserem,diffuseren,diffuseste,diffuseres,diffusere,diffusesten,diffuser,diffuserer,diffuses
diktatorisch|ADJX	-0.0048	diktatorischster,diktatorischstes,diktatorischst,diktatorischste,diktatorischere,diktatorischer,diktatorisches,diktatorischeren,diktatorischerem,diktatorische,diktatorischen,diktatorischerer,diktatorischem,diktatorischeres,diktatorischsten,diktatorischstem
dilettantisch|ADJX	-0.0048	dilettantischeren,dilettantisches,dilettantischer,dilettantischere,dilettantischerem,dilettantischste,dilettantischen,dilettantischem,dilettantischst,dilettantischster,dilettantischstes,dilettantische,dilettantischsten,dilettantischstem,dilettantischeres,dilettantischerer
diskreditieren|VVINF	-0.323	diskreditiertet,diskreditiertest,diskreditieret,diskreditiere,diskreditiert,diskreditierst,diskreditierte,diskreditier,diskreditierten,diskreditierest
distanziert|ADJX	-0.0048	distanziertere,distanzierter,distanziertes,distanziertestes,distanzierte,distanziertester,distanziertestem,distanziertesten,distanzierterer,distanzierteres,distanzierteren,distanzierten,distanzierterem,distanziertest,distanziertem,distanzierteste
disziplinlos|ADJX	-0.0048	disziplinlosest,disziplinloseste,disziplinlosester,disziplinlosestes,disziplinlose,disziplinloser,disziplinlosen,disziplinlosem,disziplinloserem,disziplinloses,disziplinlosere,disziplinloseren,disziplinloseres,disziplinloserer,disziplinlosesten,disziplinlosestem
dominieren|VVINF	-0.0048	dominieret,dominierest,dominiertest,dominiertet,dominierte,dominiere,dominier,dominierten,dominiert,dominierst
doof|ADJX	-0.1562	dooferes,doofer,dooferer,doofster,doofstes,doofem,doofen,dooferen,dooferem,doofst,doofste,doofsten,doofe,doofere,doofes,doofstem
dramatisch|ADJX	-0.3656	dramatischere,dramatischste,dramatischstem,dramatischsten,dramatischster,dramatischstes,dramatischerer,dramatische,dramatischeres,dramatischeren,dramatischer,dramatisches,dramatischerem,dramatischem,dramatischen,dramatischst
drastisch|ADJX	-0.351	drastischer,drastisches,drastische,drastischsten,drastischeres,drastischstem,drastischerer,drastischst,drastischere,drastischeren,drastischerem,drastischste,drastischster,drastischstes,drastischem,drastischen
dreckig|ADJX	-0.016	dreckigste,dreckigster,dreckiges,dreckiger,dreckigst,dreckigeres,dreckigstes,dreckigen,dreckigerer,dreckigem,dreckigere,dreckigsten,dreckigerem,dreckige,dreckigeren,dreckigstem
dreist|ADJX	-0.4457	dreistem,dreisten,dreiste,dreisterem,dreisteren,dreisteres,dreistes,dreistest,dreister,dreisterer,dreisteste,dreistestem,dreistestes,dreistester,dreistesten,dreistere
driften|VVINF	-0.0048	drifttest,driftest,driftet,drift,gedriftet,driftetest,driftete,driftetet,driftten,drifteten,driftte,drifte,drifttet
drohen|VVINF	-0.3503	droht,drohest,drohe,drohst,drohte,gedroht,drohtet,drohtest,drohet,drohten,droh
drosseln|VVINF	-0.0048	drosselten,drosseltest,drosselt,drossele,drossel,drossl,drosselte,drosselen,drossle,drosselst,drosseltet,gedrosselt
drängelnd|ADJX	-0.0048
drängen|VVINF	-0.3516	drängten,dränget,dräng,drängte,drängest,dränge,drängt,gedrängt,drängtet,drängst,drängtest
dumm|ADJX	-0.5901	dumme,dümmerer,dümmeres,dümmst,dümmere,dümmstes,dümmster,dümmsten,dümmeren,dümmstem,dümmerem,dümmste,dummen,dummem,dummes,dummer,dümmer
dunkel|ADJX	-0.0214	dunkle,dunkelstem,dunkelsten,dunklere,dunkelste,dunklerem,dunkles,dunkler,dunkelst,dunkleren,dunklem,dunkelster,dunklen,dunkleres,dunklerer,dunkelstes
durchfallen|VVINF	-0.1801
dusselig|ADJX	-0.0409	dusseliges,dusseligsten,dusseligstes,dusseligster,dusseligstem,dusseliger,dusseligeres,dusseligerer,dusseligst,dusseligerem,dusselige,dusseligeren,dusseligen,dusseligem,dusseligste,dusseligere
dämlich|ADJX	-0.048	dämlichste,dämlichere,dämlichen,dämliche,dämlicheren,dämliches,dämlicher,dämlicherem,dämlichster,dämlicheres,dämlicherer,dämlichstes,dämlichst,dämlichsten,dämlichem,dämlichstem
dämpfen|VVINF	-0.0411	dämpftest,dämpfte,dämpfst,dämpften,gedämpft,dämpft,dämpfest,dämpfet,dämpfe,dämpf,dämpftet
dürr|ADJX	-0.0048	dürres,dürrer,dürrem,dürre,dürren,dürrst,dürrste,dürrerer,dürreres,dürrerem,dürrere,dürreren,dürrsten,dürrstem,dürrstes,dürrster
düster|ADJX	-0.0187	düsterste,düstererem,düstereres,düstereren,düstererer,düstrerem,düstersten,düstreren,düsteren,düsterem,düsterster,düsterstes,düstreres,düsterer,düstrer,düstrere,düsterstem,düstrerer,düsteres,düstere,düsterst,düsterere
egoistisch|ADJX	-0.3254	egoistischstem,egoistischsten,egoistischere,egoistischster,egoistischst,egoistischstes,egoistischerem,egoistischen,egoistischeren,egoistische,egoistischem,egoistischerer,egoistischeres,egoistischste,egoistisches,egoistischer
ehebrechen|VVINF	-0.3128
eigenartig|ADJX	-0.0048	eigenartigst,eigenartigsten,eigenartigstem,eigenartigen,eigenartigeres,eigenartigem,eigenartige,eigenartigere,eigenartigerem,eigenartigeren,eigenartigste,eigenartigerer,eigenartigster,eigenartiges,eigenartiger,eigenartigstes
einbehalten|VVINF	-0.0048
einbrechen|VVINF	-0.0048
einfältig|ADJX	-0.1858	einfältigster,einfältigstes,einfältigsten,einfältige,einfältigstem,einfältigst,einfältigerer,einfältigeres,einfältigen,einfältigem,einfältigere,einfältigste,einfältiger,einfältigerem,einfältigeren,einfältiges
eingehen|VVINF	-0.0048
eingeschränkt|ADJX	-0.0048	eingeschränktest,eingeschränkteste,eingeschränkteres,eingeschränktem,eingeschränkten,eingeschränkte,eingeschränktere,eingeschränkter,eingeschränktes,eingeschränkterer,eingeschränktestem,eingeschränktesten,eingeschränkterem,eingeschränkteren,eingeschränktester,eingeschränktestes
einsam|ADJX	-0.1634	einsames,einsamer,einsameres,einsame,einsamstem,einsamsten,einsamster,einsamerem,einsameren,einsamstes,einsamst,einsamerer,einsamere,einsamen,einsamste,einsamem
einschlagen|VVINF	-0.0048
einschrumpfen|VVINF	-0.0048	einschrumpftest,einschrumpfe,einschrumpften,einschrumpfte,einschrumpfst,einschrumpfest,einschrumpf,einschrumpftet,eingeschrumpft,einschrumpft,einschrumpfet
einschränken|VVINF	-0.3327	einschränkte,einschränkest,einschränke,einschränket,eingeschränkt,einschränkst,einschränk,einschränktet,einschränktest,einschränkten,einschränkt
einschüchtern|VVINF	-0.0048	einschüchterte,einschüchtere,einschüchterst,einschüchterten,einschüchteren,einschüchter,einschüchtertest,einschüchtert,einschüchtertet,eingeschüchtert
einschüchternd|ADJX	-0.0048
einsinken|VVINF	-0.0366
einstellen|VVINF	-0.0048	einstellte,einstellt,einstelle,einstelltet,einstelltest,einstellten,eigenstellt,einstellest,einstellet,einstell,einstellst
einstürzen|VVINF	-0.0048	einstürzest,einstürztest,einstürztet,einstürzt,eingestürzt,einstürz,einstürzten,einstürzet,einstürzte,einstürze
eintönig|ADJX	-0.0378	eintönigeres,eintönigst,eintönigerer,eintönige,eintönigerem,eintönigeren,eintönigster,eintönigstes,eintöniges,eintöniger,eintönigsten,eintönigen,eintönigste,eintönigem,eintönigstem,eintönigere
ekelerregend|ADJX	-0.0413	ekelerregendem,ekelerregenden,ekelerregender,ekelerregenderem,ekelerregenderen,ekelerregendes,ekelerregendstes,ekelerregendst,ekelerregenderer,ekelerregendere,ekelerregenderes,ekelerregendste,ekelerregendstem,ekelerregendsten,ekelerregendster,ekelerregende
ekelig|ADJX	-0.0048	ekeliger,ekeligeres,ekeliges,ekeligstem,ekeligsten,ekeligerer,ekeligste,ekeligerem,ekeligeren,ekeligem,ekeligstes,ekeligen,ekeligster,ekeligst,ekelige,ekeligere
eklatant|ADJX	-0.0048	eklatanterem,eklatanteste,eklatante,eklatantere,eklatantem,eklatanten,eklatanteren,eklatanteres,eklatanter,eklatanterer,eklatantes,eklatantest,eklatantesten,eklatantestem,eklatantestes,eklatantester
elend|ADJX	-0.0519	elenden,elende,elendem,elendere,elendestem,elendesten,elendeste,elendester,elendes,elender,elenderes,elendestes,elenderer,elenderem,elendest,elenderen
elendig|ADJX	-0.0048	elendigst,elendigerem,elendigeren,elendiger,elendigste,elendigstem,elendigsten,elendigem,elendigerer,elendigen,elendigeres,elendigere,elendige,elendiges,elendigstes,elendigster
empören|VVINF	-0.0048	empörten,empörest,empörst,empör,empörtet,empörte,empöre,empört,empörtest,empöret
energielos|ADJX	-0.3037	energieloserem,energieloseren,energielosest,energieloserer,energieloseste,energielosestes,energieloseres,energieloses,energielosester,energieloser,energielosere,energielose,energielosesten,energielosen,energielosem,energielosestem
engstirnig|ADJX	-0.3199	engstirnigste,engstirnigstem,engstirnigsten,engstirniges,engstirniger,engstirnigeren,engstirnigerem,engstirnigeres,engstirnige,engstirnigerer,engstirnigem,engstirnigen,engstirnigster,engstirnigere,engstirnigst,engstirnigstes
entbehrungsreich|ADJX	-0.0048
entbinden|VVINF	-0.0048
entfremden|VVINF	-0.0048	entfremdest,entfremdete,entfremdte,entfremdetet,entfremdeten,entfremd,entfremdet,entfremdtest,entfremdten,entfremdtet,entfremde,entfremdetest
entführen|VVINF	-0.0048	entführte,entführst,entführe,entführtet,entführ,entführtest,entführet,entführten,entführt,entführest
entgleiten|VVINF	-0.0048
enthaupten|VVINF	-0.0048	enthaupte,enthaupttest,enthaupt,enthauptetest,enthaupteten,enthauptetet,enthaupttet,enthauptete,enthauptest,enthauptet,enthauptten,enthauptte
entkräftet|VVINF	-0.0048
entlassen|VVINF	-0.0048
entmutigen|VVINF	-0.0048	entmutiget,entmutigtet,entmutigtest,entmutigest,entmutige,entmutigt,entmutigten,entmutig,entmutigte,entmutigst
entnervt|ADJX	-0.0048	entnervtest,entnervte,entnervterer,entnervteres,entnervterem,entnervteren,entnervtere,entnervtem,entnervten,entnervtestem,entnervtesten,entnervter,entnervtestes,entnervtes,entnervteste,entnervtester
entrüstet|VVINF	-0.0048
entschwinden|VVINF	-0.1827
entsetzlich|ADJX	-0.477	entsetzlichen,entsetzlichere,entsetzlichem,entsetzlichsten,entsetzlichstem,entsetzlicherer,entsetzlichst,entsetzlicheren,entsetzlicherem,entsetzlichste,entsetzlichster,entsetzlicheres,entsetzliche,entsetzliches,entsetzlicher,entsetzlichstes
enttäuschen|VVINF	-0.0586	enttäusche,enttäuscht,enttäusch,enttäuschst,enttäuschten,enttäuschest,enttäuschtet,enttäuschtest,enttäuschte,enttäuschet
enttäuschend|ADJX	-0.0425
enttäuscht|VVINF	-0.3129	enttäuschtem,enttäuschten,enttäuschteren,enttäuschtest,enttäuschte,enttäuschterem,enttäuschteste,enttäuschtester,enttäuschtestes,enttäuschteres,enttäuschtestem,enttäuschtesten,enttäuschterer,enttäuschtere,enttäuschtes,enttäuschter
entwürdigend|ADJX	-0.3132
entziehen|VVINF	-0.0048
erbittert|VVINF	-0.0048	erbittertem,erbittertst,erbitterten,erbitterte,erbittertste,erbittertere,erbitterter,erbittertstes,erbittertes,erbittertster,erbittertsten,erbitterteren,erbitterterem,erbittertstem,erbitterteres,erbitterterer
erbost|ADJX	-0.3293	erbostestes,erbostester,erbostere,erbostesten,erbostest,erbostestem,erbosten,erbosteste,erbostem,erboste,erbosteren,erbosterem,erboster,erbosterer,erbostes,erbosteres
erbrechen|VVINF	-0.3308
erbärmlich|ADJX	-0.4796	erbärmlichstem,erbärmlichsten,erbärmlichst,erbärmlicherer,erbärmliche,erbärmlicheres,erbärmlichere,erbärmlicheren,erbärmlichstes,erbärmlichster,erbärmlicherem,erbärmlichste,erbärmlichen,erbärmlichem,erbärmliches,erbärmlicher
erdrückend|ADJX	-0.0048	erdrückendstes,erdrückendster,erdrückenderem,erdrückenderen,erdrückenderer,erdrückenderes,erdrückendes,erdrückendsten,erdrückender,erdrückendere,erdrückendste,erdrückenden,erdrückendstem,erdrückendem,erdrückende,erdrückendst
ergaunern|VVINF	-0.0048	ergaunere,ergaunertest,ergaunerten,ergaunert,ergauner,ergaunertet,ergauneren,ergaunerst,ergaunerte
ergebnislos|ADJX	-0.0048	ergebnisloseres,ergebnisloserer,ergebnislosere,ergebnislose,ergebnislosestem,ergebnisloseste,ergebnisloserem,ergebnisloseren,ergebnislosester,ergebnisloses,ergebnislosestes,ergebnisloser,ergebnislosesten,ergebnislosen,ergebnislosem,ergebnislosest
erleiden|VVINF	-0.3494
erliegen|VVINF	-0.3296
ermahnen|VVINF	-0.0048	ermahnten,ermahnte,ermahn,ermahnst,ermahnt,ermahntet,ermahnest,ermahne,ermahntest,ermahnet
ermorden|VVINF	-0.3292	ermordtest,ermorde,ermordte,ermordet,ermord,ermordetet,ermordetest,ermordtet,ermordeten,ermordest,ermordete,ermordten
ermüden|VVINF	-0.0048	ermüdte,ermüdtet,ermüdtest,ermüdetest,ermüdeten,ermüd,ermüdetet,ermüdet,ermüdest,ermüde,ermüdete,ermüdten
erniedrigen|VVINF	-0.0048	erniedrigt,erniedrig,erniedrigst,erniedrigte,erniedrige,erniedrigtet,erniedrigtest,erniedriget,erniedrigten,erniedrigest
ernüchternd|ADJX	-0.0048
erpressen|VVINF	-0.0048	erpresset,erpresstest,erpresse,erpresst,erpresstet,erpresste,erpressest,erpressten,erpress
erschießen|VVINF	-0.3317
erschlaffen|VVINF	-0.0048	erschlaffe,erschlafft,erschlafftest,erschlafftet,erschlaff,erschlaffet,erschlaffst,erschlafften,erschlaffte,erschlaffest
erschlagen|VVINF	-0.3442
erschrecken|VVINF	-0.1812	erschrecket,erschrecktet,erschrecke,erschreck,erschrecktest,erschreckten,erschreckte,erschreckst,erschreckest,erschreckt
erschreckend|ADJX	-0.0544
erschweren|VVINF	-0.4891	erschwere,erschwertet,erschwertest,erschwert,erschwerte,erschwern,erschwer,erschwerst,erschwerten
erschöpfen|VVINF	-0.0048	erschöpften,erschöpfet,erschöpftest,erschöpftet,erschöpfte,erschöpfe,erschöpfst,erschöpf,erschöpfest,erschöpft
erschöpft|VVINF	-0.0377	erschöpftestem,erschöpften,erschöpftest,erschöpftem,erschöpfteste,erschöpftesten,erschöpfte,erschöpftere,erschöpfteres,erschöpfter,erschöpfterer,erschöpftes,erschöpftester,erschöpftestes,erschöpfterem,erschöpfteren
erschüttern|VVINF	-0.0048	erschütterst,erschütterte,erschütter,erschüttertet,erschüttertest,erschütteren,erschütterten,erschüttere,erschüttert
erschütternd|ADJX	-0.0472
erschüttert|ADJX	-0.0048
erstechen|VVINF	-0.3078
ersticken|VVINF	-0.3291	erstick,ersticktet,ersticket,erstickst,ersticktest,erstickte,erstickten,ersticke,erstickest,erstickt
ertrinken|VVINF	-0.0048
erwürgen|VVINF	-0.0048	erwürgten,erwürgte,erwürgst,erwürg,erwürgtet,erwürgtest,erwürgt,erwürget,erwürge,erwürgest
erzürnt|VVINF	-0.3221	erzürntestem,erzürnter,erzürntesten,erzürntere,erzürntes,erzürntem,erzürnten,erzürnteste,erzürnterem,erzürnteren,erzürntestes,erzürntester,erzürnterer,erzürntest,erzürnteres,erzürnte
existenzbedrohend|ADJX	-0.0048	existenzbedrohendere,existenzbedrohenderen,existenzbedrohenderem,existenzbedrohendem,existenzbedrohende,existenzbedrohendst,existenzbedrohendste,existenzbedrohendstem,existenzbedrohendsten,existenzbedrohendstes,existenzbedrohendster,existenzbedrohenderes,existenzbedrohenden,existenzbedrohenderer,existenzbedrohendes,existenzbedrohender
explodieren|VVINF	-0.0048	explodierest,explodieret,explodiertest,explodierten,explodierst,explodiere,explodiert,explodier,explodiertet,explodierte
fad|ADJX	-0.0048	fade,fadstem,fadsten,fadster,fadere,fadstes,faderer,fadst,faderes,fadem,faden,faderem,fadste,faderen,fader,fades
fadenscheinig|ADJX	-0.0048	fadenscheiniger,fadenscheinigem,fadenscheinigen,fadenscheinigster,fadenscheinigstes,fadenscheinigere,fadenscheinigst,fadenscheinigerem,fadenscheinigstem,fadenscheinige,fadenscheinigste,fadenscheinigsten,fadenscheinigerer,fadenscheinigeres,fadenscheiniges,fadenscheinigeren
fahrlässig|ADJX	-0.3487	fahrlässiges,fahrlässiger,fahrlässigst,fahrlässige,fahrlässigem,fahrlässigerer,fahrlässigeres,fahrlässigeren,fahrlässigerem,fahrlässigen,fahrlässigste,fahrlässigstes,fahrlässigster,fahrlässigere,fahrlässigsten,fahrlässigstem
fallen|VVINF	-0.2153
falsch|ADJX	-0.7618	falschen,falscher,falschere,falsches,falsche,falscheres,falschste,falschsten,falscherer,falschst,falschstem,falschstes,falschster,falscheren,falscherem,falschem
farblos|ADJX	-0.0048	farblose,farblosen,farbloserer,farblosem,farbloseren,farbloseste,farbloserem,farblosere,farblosestes,farblosester,farbloseres,farbloses,farblosesten,farbloser,farblosestem,farblosest
faschistisch|ADJX	-0.4477	faschistischere,faschistischsten,faschistischstem,faschistischster,faschistischstes,faschistischste,faschistische,faschistisches,faschistischer,faschistischem,faschistischerer,faschistischen,faschistischeres,faschistischerem,faschistischeren,faschistischst
fatal|ADJX	-0.345	fatalster,fataleren,fatalstes,fatalerem,fatalerer,fatales,fataleres,fatalere,fataler,fatale,fatalste,fatalen,fatalem,fatalst,fatalsten,fatalstem
faul|ADJX	-0.035	faulerer,fauleres,fauleren,faulste,faulstem,faulerem,faulsten,faules,faulster,faulen,faulstes,faulem,faulst,fauler,faule,faulere
fehlen|VVINF	-0.5365	fehltet,fehlest,gefehlt,fehlt,fehlst,fehlte,fehl,fehle,fehltest,fehlten,fehlet
fehleranfällig|ADJX	-0.0048
fehlerhaft|ADJX	-0.3581	fehlerhaftere,fehlerhaftest,fehlerhafterem,fehlerhaftem,fehlerhafteren,fehlerhafteres,fehlerhafterer,fehlerhaften,fehlerhaftestem,fehlerhafte,fehlerhaftes,fehlerhafteste,fehlerhafter,fehlerhaftesten,fehlerhaftester,fehlerhaftestes
feige|ADJX	-0.4649	feigeeren,feigeerem,feigeste,feigest,feigeeres,feigeerer,feigee,feigesten,feigeere,feigeen,feigeem,feigestem,feigester,feigestes,feigees,feigeer
feindlich|ADJX	-0.4723	feindlichere,feindlichste,feindlichstem,feindlichsten,feindliches,feindlichstes,feindlichster,feindlicherem,feindliche,feindlicher,feindlichen,feindlichem,feindlichst,feindlicherer,feindlicheres,feindlicheren
feindselig|ADJX	-0.4579	feindseligste,feindseligst,feindseligerer,feindseligeres,feindseligere,feindseliger,feindseligsten,feindseligstem,feindseliges,feindseligstes,feindseligen,feindseligerem,feindseligster,feindseligem,feindseligeren,feindselige
fesseln|VVINF	-0.0048	fessle,fesseltet,fessl,fesselst,fesselen,fessel,fesselte,fesselten,fesselt,fesseltest,fessele,gefesselt
feuern|VVINF	-0.0048	gefeuert,feueren,feuer,feuerte,feuertet,feuerst,feuere,feuert,feuertest,feuerten
fies|ADJX	-0.305	fiesesten,fieses,fieser,fiesestem,fiesem,fieseste,fiesen,fiese,fiesest,fieserem,fieseren,fieseres,fieserer,fiesestes,fiesere,fiesester
finster|ADJX	-0.0515	finsterst,finstrer,finsterem,finstereren,finstrere,finstererem,finsteren,finstrerer,finstere,finstreres,finsteres,finsterer,finsterstes,finstereres,finsterste,finstreren,finstrerem,finstererer,finsterstem,finstersten,finsterere,finsterster
flach|ADJX	-0.0048	flachster,flachstes,flachsten,flachstem,flacherer,flacheres,flache,flachst,flachere,flaches,flachste,flacher,flacheren,flachem,flachen,flacherem
flau|ADJX	-0.0048	flausten,flauerer,flaueres,flauere,flaustem,flaueren,flaust,flaustes,flauster,flauestes,flauest,flauester,flaues,flauen,flauerem,flaue,flauem,flaueste,flauer,flauste,flauestem,flauesten
flüchtend|ADJX	-0.0048
flüchtig|ADJX	-0.0048	flüchtigster,flüchtigstes,flüchtigem,flüchtigsten,flüchtigstem,flüchtige,flüchtigeren,flüchtigerem,flüchtigst,flüchtigere,flüchtigeres,flüchtigerer,flüchtigen,flüchtiges,flüchtigste,flüchtiger
folgenschwer|ADJX	-0.0048	folgenschwererem,folgenschwereren,folgenschwerster,folgenschwerstem,folgenschwersten,folgenschwerst,folgenschwerstes,folgenschwere,folgenschweres,folgenschwerste,folgenschwerer,folgenschweren,folgenschwerem,folgenschwereres,folgenschwererer,folgenschwerere
folgewidrig|ADJX	-0.0048	folgewidrige,folgewidrigst,folgewidrigere,folgewidrigerer,folgewidrigeres,folgewidrigem,folgewidrigstem,folgewidrigsten,folgewidrigen,folgewidrigste,folgewidrigerem,folgewidrigster,folgewidrigeren,folgewidrigstes,folgewidriges,folgewidriger
fragil|ADJX	-0.0422	fragilen,fragilem,fragilste,fragiles,fragiler,fragile,fragilst,fragilerer,fragilstem,fragilsten,fragilere,fragileren,fragilerem,fragilster,fragileres,fragilstes
fraglich|ADJX	-0.0576	fragliche,fraglichste,fraglicher,fraglichst,fragliches,fraglicheren,fraglichstes,fraglicherem,fraglichster,fraglicheres,fraglicherer,fraglichere,fraglichsten,fraglichstem,fraglichen,fraglichem
fragwürdig|ADJX	-0.4858	fragwürdiges,fragwürdiger,fragwürdigen,fragwürdigstem,fragwürdigsten,fragwürdigstes,fragwürdigerem,fragwürdigeren,fragwürdigster,fragwürdigst,fragwürdigste,fragwürdigeres,fragwürdigerer,fragwürdigere,fragwürdigem,fragwürdige
frech|ADJX	-0.0048	frechem,frechen,freches,frecher,frecherer,frechstem,frecheres,freche,frechstes,frechere,frechster,frecherem,frechst,frechste,frechsten,frecheren
fremd|ADJX	-0.4939	fremdestes,fremdeste,fremdester,fremderer,fremderes,fremdesten,fremdestem,fremderen,fremdest,fremder,fremde,fremdere,fremdes,fremderem,fremdem,fremden
fremdartig|ADJX	-0.0419	fremdartigste,fremdartigerem,fremdartigeren,fremdartigstes,fremdartigeres,fremdartigere,fremdartiges,fremdartiger,fremdartigem,fremdartige,fremdartigst,fremdartigen,fremdartigerer,fremdartigster,fremdartigsten,fremdartigstem
freudlos|ADJX	-0.0048	freudloserem,freudloseres,freudloseren,freudloserer,freudloseste,freudlosest,freudlosere,freudlosestes,freudlosen,freudlosem,freudloser,freudlosester,freudloses,freudlosestem,freudlosesten,freudlose
frivol|ADJX	-0.0412	frivolste,frivolstem,frivoler,frivolerer,frivoleres,frivole,frivoles,frivolerem,frivolen,frivolem,frivolst,frivoleren,frivolsten,frivolster,frivolstes,frivolere
fruchtlos|ADJX	-0.0048	fruchtloseren,fruchtlosem,fruchtlosen,fruchtloseres,fruchtloserer,fruchtlose,fruchtloser,fruchtloses,fruchtlosste,fruchtlosere,fruchtlosstem,fruchtlossten,fruchtlosstes,fruchtlosster,fruchtloserem,fruchtlosst
frustrieren|VVINF	-0.0372	frustriertet,frustriere,frustrieret,frustrierst,frustrier,frustriert,frustrierte,frustrierest,frustriertest,frustrierten
frustrierend|ADJX	-0.0048
frustriert|ADJX	-0.3244	frustriertester,frustriertes,frustriertestes,frustriertestem,frustriertesten,frustrierter,frustrierte,frustrierteren,frustrierterem,frustrierteste,frustrierteres,frustrierterer,frustriertere,frustriertem,frustrierten,frustriertest
fuchsteufelswild|ADJX	-0.0048	fuchsteufelswilder,fuchsteufelswilderes,fuchsteufelswildes,fuchsteufelswildstem,fuchsteufelswildsten,fuchsteufelswilde,fuchsteufelswildst,fuchsteufelswildere,fuchsteufelswildstes,fuchsteufelswildste,fuchsteufelswildster,fuchsteufelswilderen,fuchsteufelswilderem,fuchsteufelswilderer,fuchsteufelswildem,fuchsteufelswilden
furchtbar|ADJX	-0.3042	furchtbareren,furchtbarerem,furchtbaren,furchtbares,furchtbarer,furchtbarster,furchtbarstes,furchtbare,furchtbarstem,furchtbarsten,furchtbarem,furchtbarst,furchtbarere,furchtbareres,furchtbarste,furchtbarerer
furchterregend|ADJX	-0.1778	furchterregendsten,furchterregendstem,furchterregendster,furchterregendstes,furchterregendere,furchterregendst,furchterregendste,furchterregendem,furchterregenden,furchterregende,furchterregendes,furchterregenderen,furchterregenderem,furchterregender,furchterregenderes,furchterregenderer
fälschen|VVINF	-0.0048	fälschte,fälschst,fälscht,fälsche,fälschten,gefälscht,fälschtest,fälschet,fälschest,fälschtet,fälsch
fürchten|VVINF	-0.3545	fürchtest,gefürchtet,fürchteten,fürchtte,fürchtten,fürcht,fürchtet,fürchte,fürchttet,fürchtete,fürchtetest,fürchtetet,fürchttest
fürchterlich|ADJX	-0.3363	fürchterlicher,fürchterlichster,fürchterlichem,fürchterlichstes,fürchterlichen,fürchterlichere,fürchterliche,fürchterlichst,fürchterlicheren,fürchterlichste,fürchterlicheres,fürchterlicherer,fürchterlichsten,fürchterlichstem,fürchterliches,fürchterlicherem
gallig|ADJX	-0.3005	galligerem,galligeren,galligere,gallige,galligste,galligsten,galliges,galliger,galligstem,galligster,galligstes,galligem,galligeres,galligen,galligerer,galligst
gammelig|ADJX	-0.0344	gammeliges,gammeliger,gammeligeres,gammeligerer,gammeligen,gammeligst,gammeligem,gammeligeren,gammeligerem,gammeligste,gammelige,gammeligere,gammeligster,gammeligstes,gammeligsten,gammeligstem
gammeln|VVINF	-0.0411	gammel,gammeltet,gegammelt,gammeltest,gammelen,gamml,gammele,gammelst,gammelte,gammelten,gammle,gammelt
gammlig|ADJX	-0.0048
garstig|ADJX	-0.0425	garstige,garstigsten,garstigere,garstigstem,garstigste,garstigster,garstigeres,garstigstes,garstigerer,garstigeren,garstigerem,garstiges,garstiger,garstigst,garstigem,garstigen
geblitzt|ADJX	-0.0435
